time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2008-03-15T00:00:00Z,35.0,23.068
2008-03-15T00:00:00Z,36.0,29.658
2008-03-15T00:00:00Z,37.0,29.621
2008-03-15T00:00:00Z,38.0,14.024
2008-03-15T00:00:00Z,39.0,26.171
2008-03-15T00:00:00Z,40.0,20.937
2008-03-15T00:00:00Z,41.0,5.071
2008-03-15T00:00:00Z,42.0,8.546
2008-03-15T00:00:00Z,43.0,2.214
2008-03-15T00:00:00Z,44.0,-3.172
2008-03-15T00:00:00Z,45.0,0.956
2008-03-15T00:00:00Z,46.0,3.107
2008-03-15T00:00:00Z,47.0,-2.693
2008-04-15T00:00:00Z,31.0,3.63
2008-04-15T00:00:00Z,32.0,3.131
2008-04-15T00:00:00Z,33.0,3.223
2008-04-15T00:00:00Z,34.0,15.406
2008-04-15T00:00:00Z,35.0,29.387
2008-04-15T00:00:00Z,36.0,26.687
2008-04-15T00:00:00Z,37.0,26.55
2008-04-15T00:00:00Z,38.0,13.895
2008-04-15T00:00:00Z,39.0,22.793
2008-04-15T00:00:00Z,40.0,20.96
2008-04-15T00:00:00Z,41.0,9.087
2008-04-15T00:00:00Z,42.0,13.328
2008-04-15T00:00:00Z,43.0,12.835
2008-04-15T00:00:00Z,44.0,-0.449
2008-04-15T00:00:00Z,45.0,5.266
2008-04-15T00:00:00Z,46.0,1.793
2008-04-15T00:00:00Z,47.0,2.626
2008-05-15T00:00:00Z,31.0,2.42
2008-05-15T00:00:00Z,32.0,1.232
2008-05-15T00:00:00Z,33.0,1.344
2008-05-15T00:00:00Z,34.0,7.59
2008-05-15T00:00:00Z,35.0,15.838
2008-05-15T00:00:00Z,36.0,22.655
2008-05-15T00:00:00Z,37.0,25.757
2008-05-15T00:00:00Z,38.0,27.598
2008-05-15T00:00:00Z,39.0,40.162
2008-05-15T00:00:00Z,40.0,31.84
2008-05-15T00:00:00Z,41.0,21.747
2008-05-15T00:00:00Z,42.0,25.144
2008-05-15T00:00:00Z,43.0,18.511
2008-05-15T00:00:00Z,44.0,4.552
2008-05-15T00:00:00Z,45.0,10.097
2008-05-15T00:00:00Z,46.0,3.901
2008-05-15T00:00:00Z,47.0,5.254
2008-06-15T00:00:00Z,31.0,1.511
2008-06-15T00:00:00Z,32.0,0.505
2008-06-15T00:00:00Z,33.0,0.428
2008-06-15T00:00:00Z,34.0,4.55
2008-06-15T00:00:00Z,35.0,13.495
2008-06-15T00:00:00Z,36.0,22.76
2008-06-15T00:00:00Z,37.0,17.097
2008-06-15T00:00:00Z,38.0,22.705
2008-06-15T00:00:00Z,39.0,39.454
2008-06-15T00:00:00Z,40.0,36.433
2008-06-15T00:00:00Z,41.0,21.516
2008-06-15T00:00:00Z,42.0,30.522
2008-06-15T00:00:00Z,43.0,14.731
2008-06-15T00:00:00Z,44.0,5.418
2008-06-15T00:00:00Z,45.0,4.376
2008-06-15T00:00:00Z,46.0,1.877
2008-06-15T00:00:00Z,47.0,3.432
2008-07-15T00:00:00Z,31.0,0.55
2008-07-15T00:00:00Z,32.0,0.182
2008-07-15T00:00:00Z,33.0,0.066
2008-07-15T00:00:00Z,34.0,0.699
2008-07-15T00:00:00Z,35.0,3.564
